CodeValue,ValueLabel,file,year
G,Data generated from other data values,F0304_F2,2004
H,Value not derived - data not usable,F0304_F2,2004
J,Logical imputation,F0304_F2,2004
K,Ratio adjustment,F0304_F2,2004
L,Imputed using the Group Median procedure,F0304_F2,2004
N,Imputed using Nearest Neighbor procedure,F0304_F2,2004
P,Imputed using Carry Forward procedure,F0304_F2,2004
R,Reported,F0304_F2,2004
Z,Implied zero;,F0304_F2,2004
A,Not applicable,F0304_F3,2004
B,Institution left item blank,F0304_F3,2004
C,Analyst corrected reported value,F0304_F3,2004
D,Do not know,F0304_F3,2004
G,Data generated from other data values,F0304_F3,2004
H,Value not derived - data not usable,F0304_F3,2004
J,Logical imputation,F0304_F3,2004
K,Ratio adjustment,F0304_F3,2004
L,Imputed using the Group Median procedure,F0304_F3,2004
N,Imputed using Nearest Neighbor procedure,F0304_F3,2004
P,Imputed using Carry Forward procedure,F0304_F3,2004
R,Reported,F0304_F3,2004
Z,Implied zero;,F0304_F3,2004
A,Not applicable,GR2004_ATH_AID,2004
B,Institution left item blank,GR2004_ATH_AID,2004
C,Analyst corrected reported value,GR2004_ATH_AID,2004
D,Do not know,GR2004_ATH_AID,2004
G,Data generated from other data values,GR2004_ATH_AID,2004
H,Value not derived - data not usable,GR2004_ATH_AID,2004
J,Logical imputation,GR2004_ATH_AID,2004
K,Ratio adjustment,GR2004_ATH_AID,2004
L,Imputed using the Group Median procedure,GR2004_ATH_AID,2004
N,Imputed using Nearest Neighbor procedure,GR2004_ATH_AID,2004
P,Imputed using Carry Forward procedure,GR2004_ATH_AID,2004
R,Reported,GR2004_ATH_AID,2004
Z,Implied zero;,GR2004_ATH_AID,2004
A,Not applicable,GR2004,2004
B,Institution left item blank,GR2004,2004
C,Analyst corrected reported value,GR2004,2004
D,Do not know,GR2004,2004
G,Data generated from other data values,GR2004,2004
H,Value not derived - data not usable,GR2004,2004
J,Logical imputation,GR2004,2004
K,Ratio adjustment,GR2004,2004
L,Imputed using the Group Median procedure,GR2004,2004
N,Imputed using Nearest Neighbor procedure,GR2004,2004
P,Imputed using Carry Forward procedure,GR2004,2004
R,Reported,GR2004,2004
Z,Implied zero;,GR2004,2004
A,Not applicable,GR2004_L2,2004
B,Institution left item blank,GR2004_L2,2004
C,Analyst corrected reported value,GR2004_L2,2004
D,Do not know,GR2004_L2,2004
G,Data generated from other data values,GR2004_L2,2004
H,Value not derived - data not usable,GR2004_L2,2004
J,Logical imputation,GR2004_L2,2004
K,Ratio adjustment,GR2004_L2,2004
L,Imputed using the Group Median procedure,GR2004_L2,2004
N,Imputed using Nearest Neighbor procedure,GR2004_L2,2004
P,Imputed using Carry Forward procedure,GR2004_L2,2004
R,Reported,GR2004_L2,2004
Z,Implied zero;,GR2004_L2,2004
A,Not applicable,GR2004ATH,2004
B,Institution left item blank,GR2004ATH,2004
C,Analyst corrected reported value,GR2004ATH,2004
D,Do not know,GR2004ATH,2004
G,Data generated from other data values,GR2004ATH,2004
H,Value not derived - data not usable,GR2004ATH,2004
J,Logical imputation,GR2004ATH,2004
K,Ratio adjustment,GR2004ATH,2004
L,Imputed using the Group Median procedure,GR2004ATH,2004
N,Imputed using Nearest Neighbor procedure,GR2004ATH,2004
P,Imputed using Carry Forward procedure,GR2004ATH,2004
R,Reported,GR2004ATH,2004
Z,Implied zero;,GR2004ATH,2004
A,Not applicable,IC2004_AY,2004
B,Institution left item blank,IC2004_AY,2004
C,Analyst corrected reported value,IC2004_AY,2004
D,Do not know,IC2004_AY,2004
G,Data generated from other data values,IC2004_AY,2004
H,Value not derived - data not usable,IC2004_AY,2004
J,Logical imputation,IC2004_AY,2004
K,Ratio adjustment,IC2004_AY,2004
L,Imputed using the Group Median procedure,IC2004_AY,2004
N,Imputed using Nearest Neighbor procedure,IC2004_AY,2004
P,Imputed using Carry Forward procedure,IC2004_AY,2004
R,Reported,IC2004_AY,2004
Y,Particular Doctor's professional practice field not applicable,IC2004_AY,2004
Z,Implied zero;,IC2004_AY,2004
A,Not applicable,IC2004,2004
B,Institution left item blank,IC2004,2004
C,Analyst corrected reported value,IC2004,2004
D,Do not know,IC2004,2004
G,Data generated from other data values,IC2004,2004
H,Value not derived - data not usable,IC2004,2004
J,Logical imputation,IC2004,2004
K,Ratio adjustment,IC2004,2004
L,Imputed using the Group Median procedure,IC2004,2004
N,Imputed using Nearest Neighbor procedure,IC2004,2004
P,Imputed using Carry Forward procedure,IC2004,2004
R,Reported,IC2004,2004
Z,Implied zero;,IC2004,2004
A,Not applicable,IC2004_PY,2004
B,Institution left item blank,IC2004_PY,2004
C,Analyst corrected reported value,IC2004_PY,2004
D,Do not know,IC2004_PY,2004
G,Data generated from other data values,IC2004_PY,2004
H,Value not derived - data not usable,IC2004_PY,2004
J,Logical imputation,IC2004_PY,2004
K,Ratio adjustment,IC2004_PY,2004
L,Imputed using the Group Median procedure,IC2004_PY,2004
N,Imputed using Nearest Neighbor procedure,IC2004_PY,2004
P,Imputed using Carry Forward procedure,IC2004_PY,2004
R,Reported,IC2004_PY,2004
Z,Implied zero;,IC2004_PY,2004
A,Not applicable,S2004_ABD,2004
B,Institution left item blank,S2004_ABD,2004
C,Analyst corrected reported value,S2004_ABD,2004
D,Do not know,S2004_ABD,2004
G,Data generated from other data values,S2004_ABD,2004
H,Value not derived - data not usable,S2004_ABD,2004
J,Logical imputation,S2004_ABD,2004
K,Ratio adjustment,S2004_ABD,2004
L,Imputed using the Group Median procedure,S2004_ABD,2004
N,Imputed using Nearest Neighbor procedure,S2004_ABD,2004
P,Imputed using Carry Forward procedure,S2004_ABD,2004
R,Reported,S2004_ABD,2004
Z,Implied zero;,S2004_ABD,2004
A,Not applicable,S2004_CN,2004
B,Institution left item blank,S2004_CN,2004
C,Analyst corrected reported value,S2004_CN,2004
D,Do not know,S2004_CN,2004
G,Data generated from other data values,S2004_CN,2004
H,Value not derived - data not usable,S2004_CN,2004
J,Logical imputation,S2004_CN,2004
K,Ratio adjustment,S2004_CN,2004
L,Imputed using the Group Median procedure,S2004_CN,2004
N,Imputed using Nearest Neighbor procedure,S2004_CN,2004
P,Imputed using Carry Forward procedure,S2004_CN,2004
R,Reported,S2004_CN,2004
Z,Implied zero;,S2004_CN,2004
A,Not applicable,S2004_F,2004
B,Institution left item blank,S2004_F,2004
C,Analyst corrected reported value,S2004_F,2004
D,Do not know,S2004_F,2004
G,Data generated from other data values,S2004_F,2004
H,Value not derived - data not usable,S2004_F,2004
J,Logical imputation,S2004_F,2004
K,Ratio adjustment,S2004_F,2004
L,Imputed using the Group Median procedure,S2004_F,2004
N,Imputed using Nearest Neighbor procedure,S2004_F,2004
P,Imputed using Carry Forward procedure,S2004_F,2004
R,Reported,S2004_F,2004
Z,Implied zero;,S2004_F,2004
A,Not applicable,S2004_G,2004
B,Institution left item blank,S2004_G,2004
C,Analyst corrected reported value,S2004_G,2004
D,Do not know,S2004_G,2004
G,Data generated from other data values,S2004_G,2004
H,Value not derived - data not usable,S2004_G,2004
J,Logical imputation,S2004_G,2004
K,Ratio adjustment,S2004_G,2004
L,Imputed using the Group Median procedure,S2004_G,2004
N,Imputed using Nearest Neighbor procedure,S2004_G,2004
P,Imputed using Carry Forward procedure,S2004_G,2004
R,Reported,S2004_G,2004
Z,Implied zero;,S2004_G,2004
A,Not applicable,SAL2004_A,2004
B,Institution left item blank,SAL2004_A,2004
C,Analyst corrected reported value,SAL2004_A,2004
D,Do not know,SAL2004_A,2004
G,Data generated from other data values,SAL2004_A,2004
H,Value not derived - data not usable,SAL2004_A,2004
J,Logical imputation,SAL2004_A,2004
K,Ratio adjustment,SAL2004_A,2004
L,Imputed using the Group Median procedure,SAL2004_A,2004
N,Imputed using Nearest Neighbor procedure,SAL2004_A,2004
P,Imputed using Carry Forward procedure,SAL2004_A,2004
R,Reported,SAL2004_A,2004
Z,Implied zero;,SAL2004_A,2004
A,Not applicable,SAL2004_B,2004
B,Institution left item blank,SAL2004_B,2004
C,Analyst corrected reported value,SAL2004_B,2004
D,Do not know,SAL2004_B,2004
G,Data generated from other data values,SAL2004_B,2004
H,Value not derived - data not usable,SAL2004_B,2004
J,Logical imputation,SAL2004_B,2004
K,Ratio adjustment,SAL2004_B,2004
L,Imputed using the Group Median procedure,SAL2004_B,2004
N,Imputed using Nearest Neighbor procedure,SAL2004_B,2004
P,Imputed using Carry Forward procedure,SAL2004_B,2004
R,Reported,SAL2004_B,2004
Z,Implied zero;,SAL2004_B,2004
A,Not applicable,SFA0304,2004
B,Institution left item blank,SFA0304,2004
C,Analyst corrected reported value,SFA0304,2004
D,Do not know,SFA0304,2004
G,Data generated from other data values,SFA0304,2004
H,Value not derived - data not usable,SFA0304,2004
J,Logical imputation,SFA0304,2004
K,Ratio adjustment,SFA0304,2004
L,Imputed using the Group Median procedure,SFA0304,2004
N,Imputed using Nearest Neighbor procedure,SFA0304,2004
P,Imputed using Carry Forward procedure,SFA0304,2004
R,Reported,SFA0304,2004
Z,Implied zero;,SFA0304,2004
A,Not applicable,EAP2005,2005
B,Institution left item blank,EAP2005,2005
C,Analyst corrected reported value,EAP2005,2005
D,Do not know,EAP2005,2005
G,Data generated from other data values,EAP2005,2005
H,Value not derived - data not usable,EAP2005,2005
J,Logical imputation,EAP2005,2005
K,Ratio adjustment,EAP2005,2005
L,Imputed using the Group Median procedure,EAP2005,2005
N,Imputed using Nearest Neighbor procedure,EAP2005,2005
P,Imputed using Carry Forward procedure,EAP2005,2005
R,Reported,EAP2005,2005
Z,Implied zero;,EAP2005,2005
A,Not applicable,EF2005A,2005
B,Institution left item blank,EF2005A,2005
C,Analyst corrected reported value,EF2005A,2005
D,Do not know,EF2005A,2005
G,Data generated from other data values,EF2005A,2005
H,Value not derived - data not usable,EF2005A,2005
J,Logical imputation,EF2005A,2005
K,Ratio adjustment,EF2005A,2005
L,Imputed using the Group Median procedure,EF2005A,2005
N,Imputed using Nearest Neighbor procedure,EF2005A,2005
P,Imputed using Carry Forward procedure,EF2005A,2005
R,Reported,EF2005A,2005
Z,Implied zero;,EF2005A,2005
A,Not applicable,EF2005B,2005
B,Institution left item blank,EF2005B,2005
C,Analyst corrected reported value,EF2005B,2005
D,Do not know,EF2005B,2005
G,Data generated from other data values,EF2005B,2005
H,Value not derived - data not usable,EF2005B,2005
J,Logical imputation,EF2005B,2005
K,Ratio adjustment,EF2005B,2005
L,Imputed using the Group Median procedure,EF2005B,2005
N,Imputed using Nearest Neighbor procedure,EF2005B,2005
P,Imputed using Carry Forward procedure,EF2005B,2005
R,Reported,EF2005B,2005
Z,Implied zero;,EF2005B,2005
A,Not applicable,EF2005C,2005
B,Institution left item blank,EF2005C,2005
C,Analyst corrected reported value,EF2005C,2005
D,Do not know,EF2005C,2005
G,Data generated from other data values,EF2005C,2005
H,Value not derived - data not usable,EF2005C,2005
J,Logical imputation,EF2005C,2005
K,Ratio adjustment,EF2005C,2005
L,Imputed using the Group Median procedure,EF2005C,2005
N,Imputed using Nearest Neighbor procedure,EF2005C,2005
P,Imputed using Carry Forward procedure,EF2005C,2005
R,Reported,EF2005C,2005
Z,Implied zero;,EF2005C,2005
A,Not applicable,EF2005D,2005
B,Institution left item blank,EF2005D,2005
C,Analyst corrected reported value,EF2005D,2005
D,Do not know,EF2005D,2005
G,Data generated from other data values,EF2005D,2005
H,Value not derived - data not usable,EF2005D,2005
J,Logical imputation,EF2005D,2005
K,Ratio adjustment,EF2005D,2005
L,Imputed using the Group Median procedure,EF2005D,2005
N,Imputed using Nearest Neighbor procedure,EF2005D,2005
P,Imputed using Carry Forward procedure,EF2005D,2005
R,Reported,EF2005D,2005
Z,Implied zero;,EF2005D,2005
A,Not applicable,EFFY2005,2005
B,Institution left item blank,EFFY2005,2005
C,Analyst corrected reported value,EFFY2005,2005
D,Do not know,EFFY2005,2005
G,Data generated from other data values,EFFY2005,2005
H,Value not derived - data not usable,EFFY2005,2005
J,Logical imputation,EFFY2005,2005
K,Ratio adjustment,EFFY2005,2005
L,Imputed using the Group Median procedure,EFFY2005,2005
N,Imputed using Nearest Neighbor procedure,EFFY2005,2005
P,Imputed using Carry Forward procedure,EFFY2005,2005
R,Reported,EFFY2005,2005
Z,Implied zero;,EFFY2005,2005
A,Not applicable,EFIA2005,2005
B,Institution left item blank,EFIA2005,2005
C,Analyst corrected reported value,EFIA2005,2005
D,Do not know,EFIA2005,2005
G,Data generated from other data values,EFIA2005,2005
H,Value not derived - data not usable,EFIA2005,2005
J,Logical imputation,EFIA2005,2005
K,Ratio adjustment,EFIA2005,2005
L,Imputed using the Group Median procedure,EFIA2005,2005
N,Imputed using Nearest Neighbor procedure,EFIA2005,2005
P,Imputed using Carry Forward procedure,EFIA2005,2005
R,Reported,EFIA2005,2005
Z,Implied zero;,EFIA2005,2005
A,Not applicable,F0405_F1A,2005
B,Institution left item blank,F0405_F1A,2005
C,Analyst corrected reported value,F0405_F1A,2005
D,Do not know,F0405_F1A,2005
G,Data generated from other data values,F0405_F1A,2005
H,Value not derived - data not usable,F0405_F1A,2005
J,Logical imputation,F0405_F1A,2005
K,Ratio adjustment,F0405_F1A,2005
L,Imputed using the Group Median procedure,F0405_F1A,2005
N,Imputed using Nearest Neighbor procedure,F0405_F1A,2005
P,Imputed using Carry Forward procedure,F0405_F1A,2005
R,Reported,F0405_F1A,2005
Z,Implied zero;,F0405_F1A,2005
A,Not applicable,F0405_F1A_G,2005
B,Institution left item blank,F0405_F1A_G,2005
C,Analyst corrected reported value,F0405_F1A_G,2005
D,Do not know,F0405_F1A_G,2005
G,Data generated from other data values,F0405_F1A_G,2005
H,Value not derived - data not usable,F0405_F1A_G,2005
J,Logical imputation,F0405_F1A_G,2005
K,Ratio adjustment,F0405_F1A_G,2005
L,Imputed using the Group Median procedure,F0405_F1A_G,2005
N,Imputed using Nearest Neighbor procedure,F0405_F1A_G,2005
P,Imputed using Carry Forward procedure,F0405_F1A_G,2005
R,Reported,F0405_F1A_G,2005
Z,Implied zero;,F0405_F1A_G,2005
A,Not applicable,F0405_F2,2005
B,Institution left item blank,F0405_F2,2005
C,Analyst corrected reported value,F0405_F2,2005
D,Do not know,F0405_F2,2005
G,Data generated from other data values,F0405_F2,2005
H,Value not derived - data not usable,F0405_F2,2005
J,Logical imputation,F0405_F2,2005
K,Ratio adjustment,F0405_F2,2005
L,Imputed using the Group Median procedure,F0405_F2,2005
N,Imputed using Nearest Neighbor procedure,F0405_F2,2005
P,Imputed using Carry Forward procedure,F0405_F2,2005
R,Reported,F0405_F2,2005
Z,Implied zero;,F0405_F2,2005
A,Not applicable,F0405_F3,2005
B,Institution left item blank,F0405_F3,2005
C,Analyst corrected reported value,F0405_F3,2005
D,Do not know,F0405_F3,2005
G,Data generated from other data values,F0405_F3,2005
H,Value not derived - data not usable,F0405_F3,2005
J,Logical imputation,F0405_F3,2005
K,Ratio adjustment,F0405_F3,2005
L,Imputed using the Group Median procedure,F0405_F3,2005
N,Imputed using Nearest Neighbor procedure,F0405_F3,2005
P,Imputed using Carry Forward procedure,F0405_F3,2005
R,Reported,F0405_F3,2005
Z,Implied zero;,F0405_F3,2005
A,Not applicable,GR2005_ATH_AID,2005
B,Institution left item blank,GR2005_ATH_AID,2005
C,Analyst corrected reported value,GR2005_ATH_AID,2005
D,Do not know,GR2005_ATH_AID,2005
G,Data generated from other data values,GR2005_ATH_AID,2005
H,Value not derived - data not usable,GR2005_ATH_AID,2005
J,Logical imputation,GR2005_ATH_AID,2005
K,Ratio adjustment,GR2005_ATH_AID,2005
L,Imputed using the Group Median procedure,GR2005_ATH_AID,2005
N,Imputed using Nearest Neighbor procedure,GR2005_ATH_AID,2005
P,Imputed using Carry Forward procedure,GR2005_ATH_AID,2005
R,Reported,GR2005_ATH_AID,2005
Z,Implied zero;,GR2005_ATH_AID,2005
A,Not applicable,GR2005,2005
B,Institution left item blank,GR2005,2005
C,Analyst corrected reported value,GR2005,2005
D,Do not know,GR2005,2005
G,Data generated from other data values,GR2005,2005
H,Value not derived - data not usable,GR2005,2005
J,Logical imputation,GR2005,2005
K,Ratio adjustment,GR2005,2005
L,Imputed using the Group Median procedure,GR2005,2005
N,Imputed using Nearest Neighbor procedure,GR2005,2005
P,Imputed using Carry Forward procedure,GR2005,2005
R,Reported,GR2005,2005
Z,Implied zero;,GR2005,2005
A,Not applicable,GR2005_L2,2005
B,Institution left item blank,GR2005_L2,2005
C,Analyst corrected reported value,GR2005_L2,2005
D,Do not know,GR2005_L2,2005
G,Data generated from other data values,GR2005_L2,2005
H,Value not derived - data not usable,GR2005_L2,2005
J,Logical imputation,GR2005_L2,2005
K,Ratio adjustment,GR2005_L2,2005
L,Imputed using the Group Median procedure,GR2005_L2,2005
N,Imputed using Nearest Neighbor procedure,GR2005_L2,2005
P,Imputed using Carry Forward procedure,GR2005_L2,2005
R,Reported,GR2005_L2,2005
Z,Implied zero;,GR2005_L2,2005
A,Not applicable,GR2005ATH,2005
B,Institution left item blank,GR2005ATH,2005
C,Analyst corrected reported value,GR2005ATH,2005
D,Do not know,GR2005ATH,2005
G,Data generated from other data values,GR2005ATH,2005
H,Value not derived - data not usable,GR2005ATH,2005
J,Logical imputation,GR2005ATH,2005
K,Ratio adjustment,GR2005ATH,2005
L,Imputed using the Group Median procedure,GR2005ATH,2005
N,Imputed using Nearest Neighbor procedure,GR2005ATH,2005
P,Imputed using Carry Forward procedure,GR2005ATH,2005
R,Reported,GR2005ATH,2005
Z,Implied zero;,GR2005ATH,2005
A,Not applicable,IC2005_AY,2005
B,Institution left item blank,IC2005_AY,2005
C,Analyst corrected reported value,IC2005_AY,2005
D,Do not know,IC2005_AY,2005
G,Data generated from other data values,IC2005_AY,2005
H,Value not derived - data not usable,IC2005_AY,2005
J,Logical imputation,IC2005_AY,2005
K,Ratio adjustment,IC2005_AY,2005
L,Imputed using the Group Median procedure,IC2005_AY,2005
N,Imputed using Nearest Neighbor procedure,IC2005_AY,2005
P,Imputed using Carry Forward procedure,IC2005_AY,2005
R,Reported,IC2005_AY,2005
Y,Particular Doctor's professional practice field not applicable,IC2005_AY,2005
Z,Implied zero;,IC2005_AY,2005
A,Not applicable,IC2005,2005
B,Institution left item blank,IC2005,2005
C,Analyst corrected reported value,IC2005,2005
D,Do not know,IC2005,2005
G,Data generated from other data values,IC2005,2005
H,Value not derived - data not usable,IC2005,2005
J,Logical imputation,IC2005,2005
K,Ratio adjustment,IC2005,2005
L,Imputed using the Group Median procedure,IC2005,2005
N,Imputed using Nearest Neighbor procedure,IC2005,2005
P,Imputed using Carry Forward procedure,IC2005,2005
R,Reported,IC2005,2005
Z,Implied zero;,IC2005,2005
A,Not applicable,IC2005_PY,2005
B,Institution left item blank,IC2005_PY,2005
C,Analyst corrected reported value,IC2005_PY,2005
D,Do not know,IC2005_PY,2005
G,Data generated from other data values,IC2005_PY,2005
H,Value not derived - data not usable,IC2005_PY,2005
J,Logical imputation,IC2005_PY,2005
K,Ratio adjustment,IC2005_PY,2005
L,Imputed using the Group Median procedure,IC2005_PY,2005
N,Imputed using Nearest Neighbor procedure,IC2005_PY,2005
P,Imputed using Carry Forward procedure,IC2005_PY,2005
R,Reported,IC2005_PY,2005
Z,Implied zero;,IC2005_PY,2005
A,Not applicable,S2005_ABD,2005
B,Institution left item blank,S2005_ABD,2005
C,Analyst corrected reported value,S2005_ABD,2005
D,Do not know,S2005_ABD,2005
G,Data generated from other data values,S2005_ABD,2005
H,Value not derived - data not usable,S2005_ABD,2005
J,Logical imputation,S2005_ABD,2005
K,Ratio adjustment,S2005_ABD,2005
L,Imputed using the Group Median procedure,S2005_ABD,2005
N,Imputed using Nearest Neighbor procedure,S2005_ABD,2005
P,Imputed using Carry Forward procedure,S2005_ABD,2005
R,Reported,S2005_ABD,2005
Z,Implied zero;,S2005_ABD,2005
A,Not applicable,S2005_CN,2005
B,Institution left item blank,S2005_CN,2005
C,Analyst corrected reported value,S2005_CN,2005
D,Do not know,S2005_CN,2005
G,Data generated from other data values,S2005_CN,2005
H,Value not derived - data not usable,S2005_CN,2005
J,Logical imputation,S2005_CN,2005
K,Ratio adjustment,S2005_CN,2005
L,Imputed using the Group Median procedure,S2005_CN,2005
N,Imputed using Nearest Neighbor procedure,S2005_CN,2005
P,Imputed using Carry Forward procedure,S2005_CN,2005
R,Reported,S2005_CN,2005
Z,Implied zero;,S2005_CN,2005
A,Not applicable,S2005_F,2005
B,Institution left item blank,S2005_F,2005
C,Analyst corrected reported value,S2005_F,2005
D,Do not know,S2005_F,2005
G,Data generated from other data values,S2005_F,2005
H,Value not derived - data not usable,S2005_F,2005
J,Logical imputation,S2005_F,2005
K,Ratio adjustment,S2005_F,2005
L,Imputed using the Group Median procedure,S2005_F,2005
N,Imputed using Nearest Neighbor procedure,S2005_F,2005
P,Imputed using Carry Forward procedure,S2005_F,2005
R,Reported,S2005_F,2005
Z,Implied zero;,S2005_F,2005
A,Not applicable,S2005_G,2005
B,Institution left item blank,S2005_G,2005
C,Analyst corrected reported value,S2005_G,2005
D,Do not know,S2005_G,2005
G,Data generated from other data values,S2005_G,2005
H,Value not derived - data not usable,S2005_G,2005
J,Logical imputation,S2005_G,2005
K,Ratio adjustment,S2005_G,2005
L,Imputed using the Group Median procedure,S2005_G,2005
N,Imputed using Nearest Neighbor procedure,S2005_G,2005
P,Imputed using Carry Forward procedure,S2005_G,2005
R,Reported,S2005_G,2005
Z,Implied zero;,S2005_G,2005
A,Not applicable,SAL2005_A,2005
B,Institution left item blank,SAL2005_A,2005
C,Analyst corrected reported value,SAL2005_A,2005
D,Do not know,SAL2005_A,2005
G,Data generated from other data values,SAL2005_A,2005
H,Value not derived - data not usable,SAL2005_A,2005
J,Logical imputation,SAL2005_A,2005
K,Ratio adjustment,SAL2005_A,2005
L,Imputed using the Group Median procedure,SAL2005_A,2005
N,Imputed using Nearest Neighbor procedure,SAL2005_A,2005
P,Imputed using Carry Forward procedure,SAL2005_A,2005
R,Reported,SAL2005_A,2005
Z,Implied zero;,SAL2005_A,2005
A,Not applicable,SAL2005_A_LT9,2005
